N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
176,롯데정밀화학,"34,850","1,050",-2.92%,"5,000","8,991","25,800",24.65,"93,241",5.34,11.73,https://finance.naver.com/item/main.nhn?code=004000,004000
181,JB금융지주,"4,365",45,-1.02%,"5,000","8,598","196,983",40.18,"151,581",2.51,10.36,https://finance.naver.com/item/main.nhn?code=175330,175330
182,두산인프라코어,"4,110",150,-3.52%,"5,000","8,555","208,161",12.28,"2,547,252",3.56,11.59,https://finance.naver.com/item/main.nhn?code=042670,042670
189,현대홈쇼핑,"66,500","1,400",-2.06%,"5,000","7,980","12,000",23.97,"17,899",9.29,5.03,https://finance.naver.com/item/main.nhn?code=057050,057050
190,DGB금융지주,"4,700",120,-2.49%,"5,000","7,950","169,146",46.81,"739,496",2.43,7.31,https://finance.naver.com/item/main.nhn?code=139130,139130
196,대상,"21,350","1,350",+6.75%,"1,000","7,397","34,648",16.96,"684,105",7.17,11.17,https://finance.naver.com/item/main.nhn?code=001680,001680
205,SK가스,"77,300","1,400",+1.84%,"5,000","7,135","9,230",6.39,"26,384",4.49,9.85,https://finance.naver.com/item/main.nhn?code=018670,018670
207,아주캐피탈,"12,050",50,+0.42%,"5,000","6,934","57,546",1.41,"26,533",6.83,12.97,https://finance.naver.com/item/main.nhn?code=033660,033660
208,다우기술,"15,400",250,-1.60%,500,"6,909","44,867",22.94,"84,001",3.73,14.62,https://finance.naver.com/item/main.nhn?code=023590,023590
210,휴켐스,"15,850",300,-1.86%,"1,000","6,479","40,879",11.67,"80,376",9.21,10.82,https://finance.naver.com/item/main.nhn?code=069260,069260
219,두산,"36,850","1,300",-3.41%,"5,000","6,089","16,524",10.14,"100,591",2.02,23.52,https://finance.naver.com/item/main.nhn?code=000150,000150
222,쿠쿠홀딩스,"84,300",300,-0.35%,500,"5,996","7,112",4.68,"6,014",7.55,12.38,https://finance.naver.com/item/main.nhn?code=192400,192400
233,한섬,"22,650",800,-3.41%,500,"5,579","24,630",28.92,"88,413",6.54,8.37,https://finance.naver.com/item/main.nhn?code=020000,020000
236,넥센타이어,"5,570",130,-2.28%,500,"5,440","97,668",8.89,"344,589",4.91,7.94,https://finance.naver.com/item/main.nhn?code=002350,002350
239,효성티앤씨,"125,000","1,000",+0.81%,"5,000","5,410","4,328",12.54,"9,006",5.81,20.86,https://finance.naver.com/item/main.nhn?code=298020,298020
243,HDC,"8,810",210,-2.33%,"5,000","5,263","59,742",23.79,"269,989",2.05,12.58,https://finance.naver.com/item/main.nhn?code=012630,012630
252,영원무역홀딩스,"36,300",0,0.00%,500,"4,950","13,636",23.80,"5,327",4.09,9.60,https://finance.naver.com/item/main.nhn?code=009970,009970
253,롯데정보통신,"32,100",250,-0.77%,"5,000","4,942","15,396",3.52,"38,652",8.73,14.77,https://finance.naver.com/item/main.nhn?code=286940,286940
259,SK디스커버리,"24,750",900,-3.51%,"5,000","4,712","19,038",11.79,"179,100",2.80,11.52,https://finance.naver.com/item/main.nhn?code=006120,006120
264,유안타증권,"2,320",40,-1.69%,"5,000","4,631","199,597",62.81,"217,942",6.09,6.60,https://finance.naver.com/item/main.nhn?code=003470,003470
267,대한해운,"18,350",550,-2.91%,"5,000","4,482","24,427",5.78,"812,147",4.95,11.47,https://finance.naver.com/item/main.nhn?code=005880,005880
271,한국토지신탁,"1,745",15,-0.85%,"1,000","4,406","252,489",12.54,"320,027",4.08,12.72,https://finance.naver.com/item/main.nhn?code=034830,034830
274,SK디앤디,"22,900",450,-1.93%,"1,000","4,349","18,990",4.88,"37,287",9.68,12.66,https://finance.naver.com/item/main.nhn?code=210980,210980
279,신영증권,"44,350",600,-1.33%,"5,000","4,163","9,386",10.32,"4,571",8.33,6.53,https://finance.naver.com/item/main.nhn?code=001720,001720
280,화승인더,"7,500",90,-1.19%,500,"4,149","55,320",15.99,"721,252",7.04,19.66,https://finance.naver.com/item/main.nhn?code=006060,006060
283,부산가스,"37,350","3,500",+10.34%,"5,000","4,108","11,000",3.55,"89,573",8.40,7.57,https://finance.naver.com/item/main.nhn?code=015350,015350
293,세방전지,"27,650",300,-1.07%,500,"3,871","14,000",35.79,"42,157",4.94,7.70,https://finance.naver.com/item/main.nhn?code=004490,004490
294,한국콜마홀딩스,"21,500",450,-2.05%,500,"3,857","17,939",19.58,"44,279",9.62,10.51,https://finance.naver.com/item/main.nhn?code=024720,024720
301,효성화학,"116,500","5,000",+4.48%,"5,000","3,716","3,190",9.27,"69,338",4.23,21.37,https://finance.naver.com/item/main.nhn?code=298000,298000
302,스카이라이프,"7,680",320,-4.00%,"2,500","3,673","47,822",16.01,"142,418",6.73,8.02,https://finance.naver.com/item/main.nhn?code=053210,053210
308,우리종금,525,11,-2.05%,500,"3,540","674,203",2.03,"1,141,938",6.65,15.63,https://finance.naver.com/item/main.nhn?code=010050,010050
309,LF,"12,050",350,-2.82%,"5,000","3,523","29,240",25.43,"105,265",5.21,5.65,https://finance.naver.com/item/main.nhn?code=093050,093050
312,케이씨텍,"17,600",250,-1.40%,500,"3,492","19,839",11.36,"71,500",9.47,13.52,https://finance.naver.com/item/main.nhn?code=281820,281820
315,유니드,"39,200",300,-0.76%,"5,000","3,485","8,890",5.39,"29,141",5.16,9.87,https://finance.naver.com/item/main.nhn?code=014830,014830
316,송원산업,"14,450",500,+3.58%,500,"3,468","24,000",19.16,"949,559",9.98,8.24,https://finance.naver.com/item/main.nhn?code=004430,004430
332,한화투자증권,"1,525",20,-1.29%,"5,000","3,272","214,548",6.36,"602,790",3.02,9.36,https://finance.naver.com/item/main.nhn?code=003530,003530
333,퍼시스,"28,100",200,-0.71%,"1,000","3,232","11,500",21.99,886,9.52,7.86,https://finance.naver.com/item/main.nhn?code=016800,016800
335,한솔제지,"13,250",250,-1.85%,"5,000","3,154","23,801",15.43,"98,124",7.88,6.92,https://finance.naver.com/item/main.nhn?code=213500,213500
343,삼호,"20,000",200,-0.99%,"5,000","3,036","15,180",3.50,"17,828",3.19,23.04,https://finance.naver.com/item/main.nhn?code=001880,001880
344,경방,"11,000",100,-0.90%,500,"3,016","27,415",1.78,"313,482",6.91,6.02,https://finance.naver.com/item/main.nhn?code=000050,000050
347,한독,"21,800",700,-3.11%,500,"3,000","13,764",4.15,"78,163",8.59,10.78,https://finance.naver.com/item/main.nhn?code=002390,002390
