N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1267,신한 코스피 월별 양매도 5% 콜 2206-1 ETN,"9,765",0,0.00%,0,98,"1,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=500049,500049
1268,TIGER 글로벌자원생산기업(합성 H),"8,870",110,+1.26%,0,98,"1,100",0.00,"5,123",N/A,N/A,https://finance.naver.com/item/main.nhn?code=276000,276000
1269,TRUE 인버스 유로선물 ETN B,"9,730",0,0.00%,0,97,"1,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=570038,570038
1270,KINDEX 모닝스타싱가포르리츠채권혼합,"9,665",0,0.00%,0,97,"1,000",0.00,10,N/A,N/A,https://finance.naver.com/item/main.nhn?code=342140,342140
1271,KODEX S&P글로벌인프라(합성),"9,785",55,+0.57%,0,97,987,0.00,453,N/A,N/A,https://finance.naver.com/item/main.nhn?code=269420,269420
1272,KODEX 모멘텀Plus,"8,775",20,-0.23%,0,97,"1,100",0.00,"4,936",N/A,N/A,https://finance.naver.com/item/main.nhn?code=244620,244620
1273,KINDEX 밸류대형,"5,985",45,+0.76%,0,96,"1,600",0.00,11,N/A,N/A,https://finance.naver.com/item/main.nhn?code=143460,143460
1274,KINDEX 인도네시아MSCI(합성),"6,805",65,+0.96%,0,95,"1,400",0.00,"11,059",N/A,N/A,https://finance.naver.com/item/main.nhn?code=256440,256440
1275,신한 코스피 월별 양매도 3% 콜 2206-1 ETN,"9,515",0,0.00%,0,95,"1,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=500048,500048
1276,TRUE 인버스 유로스탁스50 ETN(H) B,"9,500",30,-0.31%,0,95,"1,000",0.00,126,N/A,N/A,https://finance.naver.com/item/main.nhn?code=570025,570025
1277,신한 코스피 콘도르 4/10% 콜 2204-01 ETN,"9,455",0,0.00%,0,95,"1,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=500043,500043
1278,SK증권우,"2,415",15,-0.62%,500,94,"3,913",2.36,"13,140",36.59,N/A,https://finance.naver.com/item/main.nhn?code=001515,001515
1279,HANARO 200선물인버스,"15,740",5,-0.03%,0,94,600,0.00,270,N/A,N/A,https://finance.naver.com/item/main.nhn?code=306520,306520
1280,대신 인버스 아연선물 ETN(H),"13,430",65,+0.49%,0,94,700,0.00,3,N/A,N/A,https://finance.naver.com/item/main.nhn?code=510004,510004
1281,QV 제약 TOP5 ETN,"4,700",40,-0.84%,0,94,"2,000",0.00,149,N/A,N/A,https://finance.naver.com/item/main.nhn?code=550015,550015
1282,QV 인버스 레버리지 MSCI 선진국 ETN,"13,385",370,-2.69%,0,94,700,0.00,102,N/A,N/A,https://finance.naver.com/item/main.nhn?code=550055,550055
1283,TIGER 일본니케이225,"13,350",75,-0.56%,0,93,700,0.00,"2,615",N/A,N/A,https://finance.naver.com/item/main.nhn?code=241180,241180
1284,KOSEF 블루칩,"6,670",25,+0.38%,0,93,"1,400",0.01,234,N/A,N/A,https://finance.naver.com/item/main.nhn?code=104520,104520
