N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1,삼성전자,"49,850",500,+1.01%,100,"2,975,937","5,969,783",55.19,"13,742,821",15.75,8.69,https://finance.naver.com/item/main.nhn?code=005930,005930
2,SK하이닉스,"82,600","1,200",+1.47%,"5,000","601,330","728,002",48.48,"3,221,840",29.87,4.25,https://finance.naver.com/item/main.nhn?code=000660,000660
3,삼성바이오로직스,"588,000","3,000",-0.51%,"2,500","389,050","66,165",10.43,"174,581",191.72,4.77,https://finance.naver.com/item/main.nhn?code=207940,207940
4,삼성전자우,"42,750",250,+0.59%,100,"351,784","822,887",88.69,"1,158,191",13.50,N/A,https://finance.naver.com/item/main.nhn?code=005935,005935
5,NAVER,"197,500","5,000",+2.60%,100,"324,420","164,263",57.91,"896,825",55.82,10.56,https://finance.naver.com/item/main.nhn?code=035420,035420
6,셀트리온,"212,500","1,000",+0.47%,"1,000","286,252","134,707",20.14,"476,952",96.11,11.19,https://finance.naver.com/item/main.nhn?code=068270,068270
7,LG화학,"353,500",0,0.00%,"5,000","249,544","70,592",37.39,"442,282",88.31,1.84,https://finance.naver.com/item/main.nhn?code=051910,051910
8,LG생활건강,"1,395,000","39,000",-2.72%,"5,000","217,874","15,618",43.76,"44,751",31.77,20.32,https://finance.naver.com/item/main.nhn?code=051900,051900
9,현대차,"91,600","1,500",+1.66%,"5,000","195,720","213,668",34.17,"1,211,756",8.51,4.32,https://finance.naver.com/item/main.nhn?code=005380,005380
10,삼성SDI,"279,000","2,000",+0.72%,"5,000","191,853","68,765",42.07,"333,716",55.07,2.94,https://finance.naver.com/item/main.nhn?code=006400,006400
11,삼성물산,"99,700","1,000",+1.01%,100,"189,121","189,690",14.43,"350,235",18.16,4.77,https://finance.naver.com/item/main.nhn?code=028260,028260
12,SK텔레콤,"213,000","3,500",+1.67%,500,"171,988","80,746",37.17,"239,358",19.33,3.92,https://finance.naver.com/item/main.nhn?code=017670,017670
13,카카오,"184,000","1,000",+0.55%,500,"160,001","86,957",30.55,"719,454",-51.32,-5.81,https://finance.naver.com/item/main.nhn?code=035720,035720
14,현대모비스,"167,500","1,500",-0.89%,"5,000","159,217","95,055",45.99,"400,573",7.02,7.28,https://finance.naver.com/item/main.nhn?code=012330,012330
15,한국전력,"23,850","1,300",+5.76%,"5,000","153,108","641,964",22.48,"4,888,302",-6.53,-3.42,https://finance.naver.com/item/main.nhn?code=015760,015760
