N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
296,제일약품,"26,600",400,+1.53%,500,"3,911","14,705",3.91,"208,181",-36.94,-5.96,https://finance.naver.com/item/main.nhn?code=271980,271980
297,한국콜마홀딩스,"21,650",100,+0.46%,500,"3,884","17,939",19.60,"49,430",9.68,10.51,https://finance.naver.com/item/main.nhn?code=024720,024720
298,동국제강,"4,040",15,-0.37%,"5,000","3,855","95,433",26.87,"198,575",-5.63,-3.63,https://finance.naver.com/item/main.nhn?code=001230,001230
299,남해화학,"7,720",0,0.00%,"1,000","3,835","49,679",4.18,"157,092",23.90,3.74,https://finance.naver.com/item/main.nhn?code=025860,025860
300,LF,"13,000",150,+1.17%,"5,000","3,801","29,240",25.57,"106,265",5.62,5.65,https://finance.naver.com/item/main.nhn?code=093050,093050
301,효성화학,"119,000","1,500",-1.24%,"5,000","3,796","3,190",9.16,"30,416",4.32,21.37,https://finance.naver.com/item/main.nhn?code=298000,298000
302,맵스리얼티1,"4,070",20,-0.49%,0,"3,778","92,834",4.21,"117,533",N/A,N/A,https://finance.naver.com/item/main.nhn?code=094800,094800
303,KINDEX 단기통안채,"100,570",0,0.00%,0,"3,773","3,752",15.99,375,N/A,N/A,https://finance.naver.com/item/main.nhn?code=190620,190620
304,스카이라이프,"7,880",80,+1.03%,"2,500","3,768","47,822",15.99,"112,842",6.91,8.02,https://finance.naver.com/item/main.nhn?code=053210,053210
305,우리종금,552,3,-0.54%,500,"3,722","674,203",1.91,"2,130,506",6.99,15.63,https://finance.naver.com/item/main.nhn?code=010050,010050
306,율촌화학,"14,900",0,0.00%,500,"3,695","24,800",5.12,"313,904",20.30,5.37,https://finance.naver.com/item/main.nhn?code=008730,008730
307,유니드,"41,550","1,750",+4.40%,"5,000","3,694","8,890",5.35,"33,352",5.47,9.87,https://finance.naver.com/item/main.nhn?code=014830,014830
308,TIGER 단기채권액티브,"50,275",5,+0.01%,0,"3,656","7,272",0.00,326,N/A,N/A,https://finance.naver.com/item/main.nhn?code=272580,272580
309,송원산업,"15,200",50,-0.33%,500,"3,648","24,000",19.24,"524,322",10.50,8.24,https://finance.naver.com/item/main.nhn?code=004430,004430
310,하나제약,"22,500",200,-0.88%,500,"3,645","16,200",1.60,"29,902",12.88,13.30,https://finance.naver.com/item/main.nhn?code=293480,293480
311,아이마켓코리아,"10,050",150,-1.47%,500,"3,612","35,943",11.71,"44,607",22.48,4.31,https://finance.naver.com/item/main.nhn?code=122900,122900
312,웅진씽크빅,"2,690",0,0.00%,500,"3,609","134,173",3.15,0,-2.14,-35.62,https://finance.naver.com/item/main.nhn?code=095720,095720
313,KOSEF 200TR,"29,610",5,-0.02%,0,"3,524","11,900",0.00,"3,190",N/A,N/A,https://finance.naver.com/item/main.nhn?code=294400,294400
314,LG전자우,"20,500",50,+0.24%,"5,000","3,523","17,186",45.68,"48,293",118.50,N/A,https://finance.naver.com/item/main.nhn?code=066575,066575
315,한일시멘트,"84,400","1,600",+1.93%,"5,000","3,498","4,145",5.84,"8,934",8.64,4.62,https://finance.naver.com/item/main.nhn?code=300720,300720
316,KODEX 선진국MSCI World,"13,500",80,+0.60%,0,"3,496","25,900",0.00,"10,088",N/A,N/A,https://finance.naver.com/item/main.nhn?code=251350,251350
317,현대건설기계,"17,650",250,-1.40%,"5,000","3,477","19,701",9.49,"97,896",107.62,0.26,https://finance.naver.com/item/main.nhn?code=267270,267270
318,농심홀딩스,"74,700","1,300",-1.71%,"5,000","3,464","4,638",3.58,"2,514",9.47,4.03,https://finance.naver.com/item/main.nhn?code=072710,072710
319,케이씨텍,"17,450",300,-1.69%,500,"3,462","19,839",11.31,"63,556",9.39,13.52,https://finance.naver.com/item/main.nhn?code=281820,281820
320,서울가스,"69,100",400,-0.58%,"5,000","3,455","5,000",7.47,62,11.84,3.06,https://finance.naver.com/item/main.nhn?code=017390,017390
