N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
14,현대모비스,"167,500","1,500",-0.89%,"5,000","159,217","95,055",45.99,"400,573",7.02,7.28,https://finance.naver.com/item/main.nhn?code=012330,012330
17,신한지주,"30,000","2,850",+10.50%,"5,000","144,730","482,432",63.70,"5,241,754",4.28,9.09,https://finance.naver.com/item/main.nhn?code=055550,055550
18,KB금융,"34,200","3,100",+9.97%,"5,000","142,206","415,808",65.68,"6,240,181",4.32,8.92,https://finance.naver.com/item/main.nhn?code=105560,105560
22,기아차,"28,600",900,+3.25%,"5,000","115,934","405,363",39.12,"1,368,467",6.35,6.50,https://finance.naver.com/item/main.nhn?code=000270,000270
31,하나금융지주,"27,050","3,900",+16.85%,"5,000","81,215","300,242",65.27,"6,646,409",3.40,8.77,https://finance.naver.com/item/main.nhn?code=086790,086790
47,기업은행,"7,620",420,+5.83%,"5,000","43,979","577,157",17.31,"4,786,883",3.18,7.36,https://finance.naver.com/item/main.nhn?code=024110,024110
52,현대건설,"33,900",900,+2.73%,"5,000","37,750","111,356",19.27,"841,652",9.27,6.30,https://finance.naver.com/item/main.nhn?code=000720,000720
53,현대글로비스,"98,300",0,0.00%,500,"36,862","37,500",35.82,"156,272",7.34,11.25,https://finance.naver.com/item/main.nhn?code=086280,086280
54,미래에셋대우,"5,380",230,+4.47%,"5,000","35,417","658,316",14.24,"3,797,619",6.63,7.56,https://finance.naver.com/item/main.nhn?code=006800,006800
55,GS,"38,100",600,+1.60%,"5,000","35,401","92,915",22.03,"254,589",6.63,6.26,https://finance.naver.com/item/main.nhn?code=078930,078930
57,삼성카드,"28,900","1,100",+3.96%,"5,000","33,483","115,859",10.86,"167,096",9.73,5.04,https://finance.naver.com/item/main.nhn?code=029780,029780
61,DB손해보험,"45,100","2,600",+6.12%,500,"31,931","70,800",40.31,"261,960",8.46,6.92,https://finance.naver.com/item/main.nhn?code=005830,005830
69,대림산업,"81,500",100,+0.12%,"5,000","28,362","34,800",40.51,"270,315",4.73,11.74,https://finance.naver.com/item/main.nhn?code=000210,000210
73,한국금융지주,"47,500","1,500",+3.26%,"5,000","26,470","55,726",40.24,"317,299",3.46,18.14,https://finance.naver.com/item/main.nhn?code=071050,071050
